WOJ;POW;GMI;RODZ;SYM
DOLNOŚLĄSKIE;bolesławiecki;Nowogrodziec;miasto;0936262
DOLNOŚLĄSKIE;dzierżoniowski;Pieszyce;miasto;0984396
DOLNOŚLĄSKIE;dzierżoniowski;Niemcza;miasto;0984232
DOLNOŚLĄSKIE;górowski;Góra;miasto;0954449
DOLNOŚLĄSKIE;górowski;Wąsosz;miasto;0954662
DOLNOŚLĄSKIE;jaworski;Bolków;miasto;0935995
DOLNOŚLĄSKIE;kamiennogórski;Lubawka;miasto;0936180
DOLNOŚLĄSKIE;kłodzki;Bystrzyca Kłodzka;miasto;0983899
DOLNOŚLĄSKIE;kłodzki;Lądek-Zdrój;miasto;0984203
DOLNOŚLĄSKIE;kłodzki;Międzylesie;miasto;0984226
DOLNOŚLĄSKIE;kłodzki;Radków;miasto;0984539
DOLNOŚLĄSKIE;kłodzki;Stronie Śląskie;miasto;0984545
DOLNOŚLĄSKIE;kłodzki;Szczytna;miasto;0984597
DOLNOŚLĄSKIE;legnicki;Prochowice;miasto;0954171
DOLNOŚLĄSKIE;lubański;Leśna;miasto;0936121
DOLNOŚLĄSKIE;lubański;Olszyna;miasto;0191684
DOLNOŚLĄSKIE;lubiński;Ścinawa;miasto;0954202
DOLNOŚLĄSKIE;lwówecki;Gryfów Śląski;miasto;0936003
DOLNOŚLĄSKIE;lwówecki;Lubomierz;miasto;0936210
DOLNOŚLĄSKIE;lwówecki;Lwówek Śląski;miasto;0936227
DOLNOŚLĄSKIE;lwówecki;Mirsk;miasto;0936233
DOLNOŚLĄSKIE;lwówecki;Wleń;miasto;0936500
DOLNOŚLĄSKIE;milicki;Milicz;miasto;0987130
DOLNOŚLĄSKIE;oleśnicki;Bierutów;miasto;0987035
DOLNOŚLĄSKIE;oleśnicki;Międzybórz;miasto;0937037
DOLNOŚLĄSKIE;oleśnicki;Syców;miasto;0937379
DOLNOŚLĄSKIE;oleśnicki;Twardogóra;miasto;0987390
DOLNOŚLĄSKIE;oławski;Jelcz-Laskowice;miasto;0987118
DOLNOŚLĄSKIE;polkowicki;Chocianów;miasto;0954060
DOLNOŚLĄSKIE;polkowicki;Polkowice;miasto;0954165
DOLNOŚLĄSKIE;polkowicki;Przemków;miasto;0954194
DOLNOŚLĄSKIE;strzeliński;Strzelin;miasto;0987331
DOLNOŚLĄSKIE;strzeliński;Wiązów;miasto;0987437
DOLNOŚLĄSKIE;średzki;Miękinia;miasto;0877424
DOLNOŚLĄSKIE;średzki;Środa Śląska;miasto;0987348
DOLNOŚLĄSKIE;świdnicki;Jaworzyna Śląska;miasto;0984019
DOLNOŚLĄSKIE;świdnicki;Strzegom;miasto;0984551
DOLNOŚLĄSKIE;świdnicki;Żarów;miasto;0984746
DOLNOŚLĄSKIE;trzebnicki;Oborniki Śląskie;miasto;0987182
DOLNOŚLĄSKIE;trzebnicki;Prusice;miasto;0879914
DOLNOŚLĄSKIE;trzebnicki;Trzebnica;miasto;0987383
DOLNOŚLĄSKIE;trzebnicki;Żmigród;miasto;0987503
DOLNOŚLĄSKIE;wałbrzyski;Głuszyca;miasto;0984002
DOLNOŚLĄSKIE;wałbrzyski;Mieroszów;miasto;0984210
DOLNOŚLĄSKIE;wołowski;Brzeg Dolny;miasto;0987064
DOLNOŚLĄSKIE;wołowski;Wołów;miasto;0987466
DOLNOŚLĄSKIE;wrocławski;Kąty Wrocławskie;miasto;0987124
DOLNOŚLĄSKIE;wrocławski;Sobótka;miasto;0987294
DOLNOŚLĄSKIE;wrocławski;Siechnice;miasto;0881160
DOLNOŚLĄSKIE;wrocławski;Siechnice;miasto;0881160
DOLNOŚLĄSKIE;ząbkowicki;Bardo;miasto;0983801
DOLNOŚLĄSKIE;ząbkowicki;Kamieniec Ząbkowicki;miasto;0852631
DOLNOŚLĄSKIE;ząbkowicki;Ząbkowice Śląskie;miasto;0984692
DOLNOŚLĄSKIE;ząbkowicki;Ziębice;miasto;0984700
DOLNOŚLĄSKIE;ząbkowicki;Złoty Stok;miasto;0984723
DOLNOŚLĄSKIE;zgorzelecki;Bogatynia;miasto;0935908
DOLNOŚLĄSKIE;zgorzelecki;Pieńsk;miasto;0936351
DOLNOŚLĄSKIE;zgorzelecki;Węgliniec;miasto;0936492
DOLNOŚLĄSKIE;złotoryjski;Świerzawa;miasto;0936486
KUJAWSKO-POMORSKIE;brodnicki;Górzno;miasto;0983244
KUJAWSKO-POMORSKIE;brodnicki;Jabłonowo Pomorskie;miasto;0983474
KUJAWSKO-POMORSKIE;bydgoski;Koronowo;miasto;0929285
KUJAWSKO-POMORSKIE;bydgoski;Solec Kujawski;miasto;0929552
KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Kowalewo Pomorskie;miasto;0983540
KUJAWSKO-POMORSKIE;grudziądzki;Łasin;miasto;0983557
KUJAWSKO-POMORSKIE;grudziądzki;Radzyń Chełmiński;miasto;0983630
KUJAWSKO-POMORSKIE;inowrocławski;Gniewkowo;miasto;0928937
KUJAWSKO-POMORSKIE;inowrocławski;Janikowo;miasto;0929109
KUJAWSKO-POMORSKIE;inowrocławski;Kruszwica;miasto;0929380
KUJAWSKO-POMORSKIE;inowrocławski;Pakość;miasto;0929517
KUJAWSKO-POMORSKIE;lipnowski;Bobrowniki;miasto;0858480
KUJAWSKO-POMORSKIE;lipnowski;Dobrzyń nad Wisłą;miasto;0985651
KUJAWSKO-POMORSKIE;lipnowski;Kikół;miasto;0863480
KUJAWSKO-POMORSKIE;lipnowski;Skępe;miasto;0869583
KUJAWSKO-POMORSKIE;mogileński;Mogilno;miasto;0929428
KUJAWSKO-POMORSKIE;mogileński;Strzelno;miasto;0929598
KUJAWSKO-POMORSKIE;nakielski;Kcynia;miasto;0929233
KUJAWSKO-POMORSKIE;nakielski;Mrocza;miasto;0929440
KUJAWSKO-POMORSKIE;nakielski;Nakło nad Notecią;miasto;0929463
KUJAWSKO-POMORSKIE;nakielski;Szubin;miasto;0929612
KUJAWSKO-POMORSKIE;radziejowski;Piotrków Kujawski;miasto;0867510
KUJAWSKO-POMORSKIE;sępoleński;Kamień Krajeński;miasto;0929210
KUJAWSKO-POMORSKIE;sępoleński;Sępólno Krajeńskie;miasto;0929546
KUJAWSKO-POMORSKIE;sępoleński;Więcbork;miasto;0929820
KUJAWSKO-POMORSKIE;świecki;Nowe;miasto;0929492
KUJAWSKO-POMORSKIE;świecki;Pruszcz;miasto;0094024
KUJAWSKO-POMORSKIE;świecki;Świecie;miasto;0929664
KUJAWSKO-POMORSKIE;tucholski;Tuchola;miasto;0929724
KUJAWSKO-POMORSKIE;włocławski;Brześć Kujawski;miasto;0985444
KUJAWSKO-POMORSKIE;włocławski;Chodecz;miasto;0985562
KUJAWSKO-POMORSKIE;włocławski;Izbica Kujawska;miasto;0985734
